date,description,amount
2025-04-01,VENDING MACHINE SNACK,2.50
2025-04-02,TESLA SUPERCHARGER,38.45
2025-04-03,7-ELEVEN STORE 23456,5.75
2025-04-05,EMIRATES AIRLINES INTL,1250.00
2025-04-07,MCDONALD'S #8976,8.99
2025-04-08,ETSY.COM MARKETPLACE,23.50
2025-04-10,SOUTHERN CALIFORNIA GAS,87.90
2025-04-12,H&M STORE #2345,65.40
2025-04-13,DOMINO'S PIZZA,19.75
2025-04-15,AIRBNB * HMXYZ123,345.00
2025-04-16,METRO TRANSIT PASS,100.00
2025-04-18,FIVE GUYS BURGERS,16.20
2025-04-19,ZARA USA #0789,112.80
2025-04-20,PUBLIC LIBRARY FINE,3.00
2025-04-22,LUFTHANSA AIRLINES,890.00
2025-04-23,UBER *TRIP AIRPORT,45.60
2025-04-24,PEET'S COFFEE,6.25
2025-04-25,IKEA #234,267.50
2025-04-27,TACO BELL #5432,9.85
2025-04-28,PATAGONIA OUTDOOR,189.00
2025-04-29,PARKING METER,12.00
2025-04-30,SEPHORA STORE,78.95
